Reports,Count
Unspecified,3504
changed,1
Changing,2691
Chevron,1288
Cigar,2668
Circle,11432
Cone,463
Crescent,2
Cross,342
Cylinder,1713
Delta,8
Diamond,1639
Disk,6969
Dome,1
Egg,999
Fireball,8619
Flare,1
Flash,1930
Formation,3446
Hexagon,1
Light,22645
Other,7689
Oval,4998
pyramid,1
Rectangle,1839
Round,2
Sphere,7314
Teardrop,1008
Triangle,10460
TRIANGULAR,1
Unknown,7841
