City,Date,Shape,State,Summary
Parker,7/8/17 23:00,Circle,CO,"Observed reddish colored circular craft approximately 1000-1500 feet in alt., traveling N by NE at approx. 35mph. ((anon. report))"
Riverside,7/8/17 22:50,Light,CA,"Pulsing red light, changes colors & altitude."
Versailles,7/8/17 22:30,Unknown,KY,"Sitting on my back porch. Beautiful clear evennng. Noticed an bright, constant, orange light. Consistent speed. ((anonymous report))"
Chamois,7/8/17 22:23,Circle,MO,My Mother and I witnessed a red and orange fire like light moving in the night sky and then disappeared .
Edinburg,7/8/17 22:15,Light,PA,8-10 orange lights/orbs.
Manilla,7/8/17 22:10,Circle,IA,"2 Red lights seen over small Iowa town, then disappeared!"
Vienna,7/8/17 21:45,Light,VA,Observed 5 red silent lights traveling eastward at regular intervals. ((anonymous report))
Mentor,7/8/17 21:00,Sphere,OH,"Dark, spherical object 50 ft. above tree line silhouetted against evening sky in residential neighborhood."
,7/8/17 20:47,Diamond,IN,"I was running late at night, meanwhile my neighbors were lighting fireworks. The fireworks my neighbors had been setting off were the k"
Telluride,7/8/17 12:44,Cigar,CO,unknown object in sky seen on photo taken during hike.
Lisburn (Northern Ireland),7/8/17 11:00,Teardrop,,"Walking dog.. Standing chatting to fellow dog walker in field, clear bright summer day. Full vision.Clear sky's. Observed for split sec"
Woodstock,7/8/17 10:30,Light,GA,White orb like light near downtown Woodstock.
Clinton,7/8/17 10:00,Changing,CT,My mother and I were driving northbound on I-95 in the Clinton area. It was extremely dark outside despite the full moon. There were al
Stratford,7/8/17 03:30,Unknown,CT,Just saw lights in a square formation 4 blue lights inside 4 red lights moved rapidly up down and sideways than just hover lights did n
Davie,7/8/17 03:11,Unknown,FL,"Brilliant light coming and going, and loud, increasing, engine noise; stops suddenly! ((anonymous report))"
Walla Walla,7/8/17 02:35,Light,WA,Bright light hovering over Walla Walla
Carlsbad,7/8/17 01:30,Circle,CA,See slow motion video.
Royal Oak,7/8/17 00:45,Other,MI,"Witnessed 15 orange like dots in the sky that did not look like stars, planes nor fireworks."
San Diego,7/7/17 22:25,Fireball,CA,"Firework-like ship fell down, then up again, down about 3 circles before disappearing (7 witnesses). ((anonymous report))"
San Diego,7/7/17 22:15,Fireball,CA,Fireball objects appeared in the sky almosy serpent like movement .
Mt. Morrison,7/7/17 21:55,Changing,CO,We saw one round object hoovering around the antenna tower on Mt. Morrison between Interstate 70 & Rd. 74.
Chula Vista,7/7/17 21:53,Fireball,CA,UFO disappears behind mountain. Fireball trail.
St. Augustine Beach,7/7/17 21:30,Circle,FL,"Strange reddish/orange in color, and shaped like like hot air balloons. The light aspect lasted about 2 to 3 minutes for each object."
Ocoee,7/7/17 21:21,Light,FL,3 orange-ish red lights hovering for five minutes.
West Mifflin,7/7/17 21:00,Sphere,PA,Perfect sphere almost translucent but with a slight cloud like color moving across sky
Plymouth,7/7/17 20:00,Circle,MI,"Circle craft with a light center and silver rim, moving fast and straight, then turned to fly at a angle. Cloudy. ((anonymous report))"
Louisvile,7/7/17 04:26,Circle,KY,Orange light with two glowing orbs bright orange and round in shape way above the ground at least 50 feet. ((anonymous report))
Winder,7/7/17 03:00,Light,GA,"I am 100% certain that this is not a jet/plane, a satellite, another celestial body, or the I.S.S. It has a very bright light and is co"
Port Sanilac,7/7/17 03:00,Light,MI,Second night sighting. ((NUFORC Note: Possible sighting of Venus?? PD))
Anahiem,7/7/17 00:30,Teardrop,CA,Slow moving teardrop like red light in sky and dropping shooting-star like material.
Marsing,7/6/17 23:26,Other,ID,"Bright and erratic moving object, almost space shuttle shaped. ((NUFORC Note: Sighting of Jupiter?? PD))"
Billings,7/6/17 23:24,Flash,MT,Orange flash in night sky over the Little Big Horn battlefield.
Madison,7/6/17 22:30,Flash,WI,"Saw lights flashing in the sky non-stop for hours, freaked my dog out. ((anonymous report))"
Marshalltown,7/6/17 22:00,Fireball,IA,Orange/red light seen on west side of town.
Warner Springs (near),7/6/17 21:40,Light,CA,Tailgating vehicle disappears.
Phoenix,7/6/17 21:25,Oval,AZ,First One BIG oval disc 2 bright lights one red. The other was smaller and moving very fast. We saw it shoot light from the craft.. It
Majors Place (south of),7/6/17 21:00,Light,NV,"Three non-moving, reddish-orange lights in White Pine County, NV."
Alto,7/6/17 21:00,Light,NM,"Unexplained trio of bright lights, night of July 6, 2017."
Anaheim,7/6/17 20:58,Fireball,CA,Fireball good across the sky leaving a trail. ((anonymous report))
New Bern,7/6/17 20:18,Oval,NC,"While sitting outside on the back deck of my waterfront home at about 20:10 I began noticing duck families; 7 in all, all swimming the"
Decaturville,7/6/17 19:40,Oval,TN,"((NUFORC Note: Bogus report? No information, and date is flawed. Source remains anonymous. PD))"
Tempe,7/6/17 07:55,Flash,AZ,Recurring white flashes. ((anonymous report))
Kingman,7/6/17 04:30,Fireball,AZ,"Recurring quick, bright flashing object from 07/04/17 being pursued by another object in Kingman, AZ"
Woodstock,7/6/17 04:08,Triangle,GA,Was outside in my garage and i heard a plane kindve low. I figured maybe its a plane that going to the small airport near me and is ab
Elkhart Lake,7/6/17 00:30,Light,WI,Silent flashing sporadic moving white light. ((anonymous report))
Fort Wayne,7/5/17 23:15,Unknown,IN,"Bright orange light slowly moves soundlessly over northeast Fort Wayne, IN."
Mission (Canada),7/5/17 23:00,,BC,"Two small explosions in night sky, with what appear to be a satillite coming from area, then makes a u-turn in the sky."
Orlando,7/5/17 19:32,Light,FL,Very bright white light following a southern trajectory seen 5 minutes prior to Falcon-9 launch from Cape Canaveral
San Francisco,7/5/17 17:30,Chevron,CA,"Chevron shaped object hovering and also slow moving, very high, over San Francisco"
Port Hadlock,7/5/17 16:30,Triangle,WA,Two triangular objects seen through/over high clouds.
Fargo,7/5/17 11:24,Circle,ND,"Lights over North Fargo, ND. ((anonymous report))"
New Kensington,7/5/17 08:14,Cigar,PA,"My husband was taking pictures of an airplane refueling above our home. After looking at the pictures, that were taken in rapid succes"
Montrose,7/5/17 03:30,Circle,CA,"Speeding star-like object streaks back and forth blacks out ,comes back and joins others in diamond shape."
Port Sanilac,7/5/17 03:00,Triangle,MI,Urgent sighting and possible encounter.
Abbotsford (Canada),7/5/17 01:36,Other,BC,they looked just like a star ((NUFORC Note: Possible satellites?? PD))
Portland,7/5/17 00:35,Fireball,OR,"Bright orange flickering object observed for 90 seconds flying North to South over Portland, Oregon."
Glenpool,7/5/17 00:30,Light,OK,Four bright lights moving in formation south of Glenpool. ((anonymous report))
Stanton,7/4/17 00:00,Cone,CA,Bright orange/ reddish circle orb. ((anonymous report))
Bridgeport,7/4/17 23:30,Unknown,CT,Object spun in place reversing direction twice and disappeared in a cloud.
Ocean city,7/4/17 23:30,Circle,MD,"Silent bright reddish object moved east to west, stopped then faded away. ((anonymous report))"
Dearborn,7/4/17 23:25,Fireball,MI,Bright slow moving orange (fire) balls moving at an angle up into the sky. ((anonymous report))
Atchison,7/4/17 23:15,Oval,KS,Orange red light moving slowly in the sky. ((anonymous report))
Nampa,7/4/17 23:00,Fireball,ID,Looked like a glowing fireball in the sky during fireworks.
Yreka,7/4/17 22:51,Light,CA,"UFO sighting in Yreka, CA, during 4th of July fireworks display. (07/04/2017)."
Los Angeles,7/4/17 22:48,Fireball,CA,Not a firework.
Butte,7/4/17 22:35,Other,MT,Slow moving pulsating orange squares with blurred top making sound
Reston,7/4/17 22:30,Fireball,VA,Two fireballs traveled slowly across the sky SE to NW about 2 minutes apart. ((anonymous report))
Denver,7/4/17 22:30,Formation,CO,5 distinct bright objects moving in and out of formation and visibility.
Lexington,7/4/17 22:30,Circle,KY,"Witnessed a pulsating green light in the sky, looked to be a plane. Was consistently blinking. ((anonymous report))"
Larmont,7/4/17 22:30,Changing,NY,"Red-orange orb, changes shape vertically into glowing teardrop."
Morristown,7/4/17 22:24,Circle,TN,"Every Fourth of July, my family and I set off fireworks. During this time, we always see this strange orb in the sky that moves sort of"
Butte,7/4/17 22:23,Formation,MT,Two hovering objects with red and deep turqouise-blue light(s); blue was pulsating
Lexington,7/4/17 22:15,Light,KY,"Large, bright, orange constant light about 2000 ft up, traveling East to West over Lexington during fireworks with no sound."
Prospect,7/4/17 22:10,Light,PA,"Three bright red lights with no sound moving in a south southwest direction, each following the other by 2-3 minutes."
Versailles,7/4/17 22:00,Sphere,KY,"Three reddish orbs, triangle formation, stationary, Woodford County, Ky July 4, 2017. ((anonymous report))"
Buffalo,7/4/17 22:00,Changing,NY,3 orange-ish to reddish dots. We were facing abound and seen 3 lights that staid lit for roughly 8 mins. ((anonymous report))
Montebello,7/4/17 22:00,Circle,CA,Orange dot in the sky. I have video. ((anonymous report))
Franklin Square,7/4/17 22:00,Sphere,NY,"Six UFO's in one night, five on video!"
New York City (Queens)(Hollis),7/4/17 22:00,Light,NY,"Bright orange lights dots, or aircraft."
Garden City Beach,7/4/17 22:00,Changing,SC,"While watching Murrells Inlet Fireworks, I watched a number of lights positioned at various points surrounding me, and changing positio"
Woodinville,7/4/17 21:55,Light,WA,"ISS-looking bright ufo flies over Washington at great speed or low altitude, or both...."
Port Charlotte,7/4/17 21:50,Sphere,FL,Bright red light drifting westward started to pulsate from dim to bright repeatedly
Rice Lake,7/4/17 21:46,Light,WI,Red orb light seen changing colors.
Rockville,7/4/17 21:45,Light,MD,"Two green lights hovering outside of Washington, DC."
Oklahoma City,7/4/17 21:45,Light,OK,Extra bonus 4th of July 2017 in Oklahoma City.
Jacksonville,7/4/17 21:42,Light,FL,"Jacksonville, FL. Two bright orange lights moving south to north. No “contrails” seen, no sound. Second light followed same path."
Broadview Heights,7/4/17 21:42,Oval,OH,"Black object seen by husband and wife in Broadview Hts, OH"
Orange Park,7/4/17 21:40,Circle,FL,One reddish/green orb flying southeast to northwest in the sky.
Denver,7/4/17 21:38,Formation,CO,Denver Light formation 7/4 of 4-5 bright lights format just after firework show began low sky and bright N of Englewood nr Denver.
Plymouth,7/4/17 21:37,Fireball,MA,"Bright orange ball, flying south east to north northeast, brightens then fades while accelerating."
Greencastle,7/4/17 21:30,Unknown,PA,"Seen 2 white blinking lights traveling what appeared to be very fast, one going north and one east, they then stopped and returned to o"
Corona,7/4/17 21:30,Fireball,CA,"Fire ball in sky, not fireworks."
Brandon,7/4/17 21:30,Circle,FL,Two strange crafts observed on July 4th
Manchester,7/4/17 21:30,Light,NJ,6 bright red lights appeared moving upwards then disappeared. This happened twice same amount of red lights.
Bel Air,7/4/17 21:30,Rectangle,MD,Went from hovering to 70+mph to complete stop w/o accelerating or decelerating. ((anonymous report))
Suisun City,7/4/17 21:30,Diamond,CA,"Unusual green light was seen in the sky over Suisun City, CA which hovered for about 5 minutes before suddenly zooming away."
Wabasha,7/4/17 21:30,Disk,MN,15 red-orange discs at Minnesota fireworks
Linden,7/4/17 21:30,Light,NJ,"Blinking light.....unlike aircraft, helicopter or blimp."
Levittown,7/4/17 21:30,Fireball,NY,4 orange lights lingered in the sky.
Chicago,7/4/17 21:00,,IL,Strange craft with flashing lights was flying over Cicero on the 4th of July. ((anonymous report))
Saint Simons Island,7/4/17 21:00,Disk,GA,"Hovering blue object spotted over Saint Simons Island, GA"
Oklahoma City (South),7/4/17 21:00,Light,OK,Light appears over South OKC and seemingly defies physics by disappearing between light pulses and reappearing miles away.
Orlando,7/4/17 21:00,Circle,FL,4th of July pm looked Up towards the S night sky to see the moon saw slow moving red light not a plane. ((anonymous report))
Florissant,7/4/17 21:00,Other,MO,Bright red bigger light with tail of smaller dimmer white lights. Dragon-fly. Unidentified &quot;floating&quot; object?
Pueblo,7/4/17 21:00,Fireball,CO,"3 fireballs in the night sky of Pueblo, CO."
Patchogue,7/4/17 20:40,Changing,NY,Observed two UFO's hover above a fireworks show that lasted for over an hour and a half. One red-lighted craft slowly rose in the air
Kenner,7/4/17 20:30,Other,LA,It was just after sunset and I was looking at the moon in the SE Sky when I was startled to witness a dark black object with what appea
