City,Date,Shape,State,Summary
Cape Coral,5/8/17 20:04,Cylinder,FL,"The second day in a row at sunset, this cylindrical object appeared at the same angle as previous sunset, but this time ive got pics af"
Atlanta,5/8/17 20:00,Changing,GA,Bright orbs in triangle formation slowly fly over Atlanta.
Atlanta,5/8/17 16:30,Sphere,GA,13+ white dots spotted hovering over downtown Atlanta during an EDM festival.
Whitby (Canada),5/8/17 13:00,Oval,ON,High Slow Bright White Oval Object.
Durham,5/8/17 10:30,Circle,NC,Bright silver shape circle.
Ayia (Greece),5/8/17 06:39,Disk,,Strange object that appears above sea and stays there for 11 minutes
Clearwater/Palm Harbor,5/8/17 05:30,Circle,FL,Between trees up in sky ahead of me facing East was bright white circular light. ((NUFORC Note: Probably a sighting of Venus. PD))
Lake St. Louis,5/8/17 05:15,Flash,MO,"Extremely fast moving UFO in St. Louis, Missouri."
Greenville,5/8/17 05:00,Unknown,NY,Clear sky no stars or moon the lights hoverd left to right quick.after 15 minutes it rised but stayed in same area.no noise.object did
Wylie,5/8/17 00:30,Light,TX,Object changing speeds emitting blue and red lights flew across the sky without making noise.
Jewell,5/8/17 00:00,Sphere,IA,We saw a glowing sphere with no blinking lights or sound. It was moving from E to W. And it stopped at one point.
Los Angeles,5/7/17 21:08,Fireball,CA,Green light stood still for two seconds then immediately shot across the sky at extremely high speed. Much faster than any object ever
Marietta,5/7/17 21:00,Sphere,GA,EMERALD GREEN ORB PUTS ON LIGHT SHOW IN MARIETTA GA.
Naples,5/7/17 20:03,Cylinder,FL,"On the evening of May 7 , 2017 a crowd of people were gathered as usual at Vanderbilt Beach in Naples, Florida. As the sun set at 8:02"
Montgomery,5/7/17 20:00,Circle,AL,"7 silent red orbs moving at a moderate rate of speed, high up in the sky, and then disappearing into the clouds. 10 minutes."
Warrior,5/7/17 19:30,Circle,AL,"Warrior, AL, May 7, 2017, white round object to the left of the moon."
District Heights,5/7/17 19:00,Circle,MD,Black object flying slowly with what appeared to be a turquoise/green colored bright light periodically flashing on the object- flying
Walton,5/7/17 13:00,Cylinder,IN,I seen a big shadow of a hawk or vulture that seemed close. ((anonymous report))
Comstock Park,5/7/17 05:15,Formation,MI,4-5 bright lights or disks in sky motionless for at least 30 minutes.
Baltimore,5/7/17 04:56,Light,MD,Bright star-like light in the early morning (~5 AM) sky. ((NUFORC Note: Sighting of Venus in E sky? PD))
Tucson,5/7/17 02:50,Light,AZ,"What I presumed was Vega... was actually moving. So basically, this appeared to be a star. Then, as I watched it, it was actuall"
Vineland,5/7/17 01:20,Triangle,NJ,Strange orange glowing object on farm.
Port St. Lucie,5/7/17 00:40,Light,FL,White Light traveling pin point craft making full stops changing in a zig zag pattern.
Goodyear,5/6/17 22:00,Diamond,AZ,Witnessing fixed diamond shaped craft with red lights on top. They remain in the same position all night. ((NUFORC Note: Stars? PD))
Minneapolis,5/6/17 21:41,Formation,MN,Light formation in sky and similar pattern reflected on people in photos taken an hour earlier.
Waxahachie,5/6/17 21:15,Chevron,TX,a chevron shaped object flew 50 feet over my head at about 8-10 mph for 30 seconds going north and then vanished
Hibbing,5/6/17 21:13,Fireball,MN,2 bright orange lights (fireballs) over HIbbing Minnesota
Bonnerdale/Crossroads,5/6/17 21:00,Unknown,AR,My dogs started barking and wouldn't stop. So I went outside to check and about 2-300 yards away I noticed a bright light flickering ri
Southington,5/6/17 21:00,Other,CT,9:00 PM 3 people spotted green and red lights in the sky for 5 minutes before disappearing.
Old Bridge,5/6/17 20:58,Changing,NJ,"Spinning, changing, UFO."
Phoenix,5/6/17 20:45,Triangle,AZ,Phoenix HUGE Isosceles Triangle shaped Craft with 3 lights quietly headed Southeast in Arizona!
San Francisco,5/6/17 05:00,Fireball,CA,"Ball of light moving east - away from SF - appeared to wobble, made a sudden shift, then disappeared in the still-dark morning sky."
Camp McGregor,5/6/17 05:00,Light,NM,Light seen over mountain's east of Camp McGregor. It hovered in one spot. ((NUFORC Note: Possible sighting of Venus? PD))
Mojave (Canada),5/6/17 04:50,Light,BC,"Light in sky stationary. Not an a/c, or any known star. Flickering in brightness. ((NUFORC Note: Possibly Venus. Anonymous. PD))"
Corona,5/5/17 20:00,Other,CA,"Fast-moving light over the mountain range, near Corona, California in Southern California 5/5/2017"
Austin,5/5/17 11:30,Disk,TX,"Flying saucer descends, possibly lands in North Austin nature trail."
Surprise,5/5/17 04:30,Circle,AZ,"Very strange looking. Lots of dogs were barking, the whole time."
El Mirage,5/5/17 03:00,Circle,AZ,"While letting my dog out, a very bright white circle of light appeared suddenly in the sky. It seemed very low."
York,5/4/17 23:34,Fireball,NE,"A fire ball was moving in the atmosphere while stopping, going, and even changing directions."
Onchiota,5/4/17 23:25,Unknown,NY,Craft following above car.
Elkhart Lake,5/4/17 23:07,Unknown,WI,Object with constant green light and flashing white appeared unmoving until it randomly flew away. ((anonymous report))
Lawrence,5/4/17 23:00,Light,KS,Helicopter chasing orange light at low altitude.
Edgewood,5/4/17 22:00,Unknown,NM,Unusually fast moving object
Phoenix,5/4/17 21:27,Circle,AZ,Orange round sphere.
Houston,5/4/17 20:25,Other,TX,First noticed a blue-green light in the sky.
Phoenix,5/4/17 18:30,Teardrop,AZ,Flying corkscrews.
Beaverton,5/4/17 15:00,Disk,OR,Hat-shaped tan object caught on cell phone camera by accident.
Taft,5/4/17 04:50,Changing,CA,I'm a truck driver and I've seen the reddish/orange balls of light before. But never this close. One passed over my truck from E to W.
Goose Creek,5/4/17 00:00,Circle,SC,For a little over a month I would go outside and enjoy a cigar or just return home from anywhere from 10:30 to 11 pm and notice weird a
Savannah,5/4/17,Sphere,GA,"Watched a 3-4"" neonish blue sphere come in one end of development and slowly move thru park. ((anonymous report))"
Lake Los Angeles,5/3/17 00:00,Oval,CA,"Fast moving green lights, one flashing the other steady. Moving faster than airliners leaving Burbank. Heading E, making no noise."
West Union,5/3/17 23:15,Circle,OH,"Walking my dog and I looked up at the stars and moon when I saw that one of the stars looked weird. It was very bright, circular."
Portland,5/3/17 21:00,Circle,OR,Three moving bright lights.
Loveland,5/3/17 15:00,Triangle,CO,I seen 2 objects dancing high in the sky... they were spinning and moving in an odd way. ((anonymous report))
Barneveld,5/3/17 11:15,Triangle,WI,Very bright triangular shaped object. ((anonymous report))
Phoenix,5/3/17 08:50,Other,AZ,MAN SEEN AIRLINE LIKE OBJECT VANISH INSIDE CONTRAIL..
New York City (Brooklyn),5/3/17 08:00,Rectangle,NY,UFO.
Arvada,5/3/17 02:04,Triangle,CO,Triangle formation to horizontal line.
Norman,5/3/17 01:00,Light,OK,Bright circular light in western sky in Oklahoma multiplied into total 13 lights then into single light and suddenly dissapeared 5 min
Albuquerque,5/2/17 22:15,Sphere,NM,"We saw a single bright blue orb drop like a shooting star at about 700-1000 ft above ground, pause, then drop again."
Albuquerque,5/2/17 21:50,Sphere,NM,This object was flying over the mountains and looked as if a full moon was flying through the sky. This was a massive bright sphere.
Kennesaw,5/2/17 21:00,Light,GA,"Strange craft appears at dusk, lights up and moves position."
Albuquerque,5/2/17 17:10,Oval,NM,I saw a reflective metallic round object moving W at a very fast speed. No sound or vapor trail. ((anonymous report))
Canoga Park,5/2/17 13:15,Sphere,CA,Above the San Fernando Valley.
Edmonton (Canada),5/2/17 13:00,Light,AB,where are all the pictures....with everyone owning a cell phone these days....
Las Vegas,5/2/17 05:00,Unknown,NV,"Green light shining down on us, followed our movement for five minutes before disappearing."
Houma,5/2/17 00:13,Disk,LA,Orange steady light.
Taylorsville,5/1/17 23:30,Circle,UT,Went out back for a smoke when I noticed a bright pure red light hovering low SE sky! It hovered there
Marana,5/1/17 21:15,Circle,AZ,"In the sky W of Marana, 3 flashing objects at 3 different levels above the horizon. The lowest object was also the furthest S."
Scottsdale,5/1/17 21:13,Unknown,AZ,Bright white light.
Lawrenceville,5/1/17 19:00,Light,NJ,"Brilliant blue beam of light shot into kitchen from window, the flash stretched about ten feet and disappeared in seconds."
Fullerton,5/1/17 15:30,Diamond,CA,Two diamond objects move toward each other and then seem to collide separate and then stop moving.
Tewksbury,5/1/17 05:00,,MA,"((HOAX??)) Visited by an Alian. ((NUFORC Note: We question whether this is a serious report, or not. PD))"
Fullerton,5/1/17 03:23,Diamond,CA,"Diamonds in sky flying toward each other, and then slowly disappearing. ((anonymous report))"
Chugiak,5/1/17 01:50,Rectangle,AK,Rectangular shaped object with 4 red blinking lights at the corners of the shape followed me!
Millville,5/1/17 01:00,Circle,NJ,Walking back to my home to let my car warm up when I look up noticed bright amber light. ((anonymous report))
Seminary,5/1/17 00:15,Oval,LA,"Very bright oval light yellowish in color on a very windy, very cloudy night. ((anonymous report))"
Spring,4/30/17 22:00,Circle,TX,We saw 4 ufo's the first 3 were in an arrow shape with one tagging along behind and then a couple seconds later they all merged into a
Peyton,4/30/17 22:00,Formation,CO,I notice fairly fast movement. First thought was a meteor. ((anonymous report))
Ventura,4/30/17 21:00,Other,CA,There was one bigger light flashing with about 13 smaller ones except the smaller ones flashed a bit different. It reminded me of a dro
Eatonton,4/30/17 21:00,Light,GA,Driving north across a long bridge on Lake Oconee multiple lights were spotted high above and spread out over the lake. When we drove
Belleville,4/30/17 20:30,Triangle,IL,"Close to the horizon, there were 3 lights in a triangular shape. As we watched, they turned in a circle, still keeping their triangula"
Pebble Beach,4/30/17 18:00,Sphere,CA,"A bright silver ball traveling west to east at a high speed, making no sound, flew past us making a slight change of direction and then"
Everett,4/30/17 14:00,,WA,Ball of white light zooming in L shapes then disappearing again
Del Valle,4/30/17 05:00,Circle,TX,bright star like object moving around moon in the day time
Nashville,4/30/17 03:33,,TN,"Around 3:21 AM April 30,I was winding down from work and looking at my tablet online. Lights on, quiet,TV unplugged, no other electroni"
Oxford (UK/England),4/30/17 02:00,Circle,,8 lights going spinning in big circles. Very hard to get a footage as its mostly only vidible to the eyes not video camera. Got few pho
Mansfield,4/30/17 01:45,Light,MA,Huge green bright light circle.
Wentzville,4/30/17 01:23,Flash,MO,"Watching TV when saw first flash. Power slowly faded out. Looked outside, saw whole sky flash bright green. Neighborhood outage.."
Eden Prairie,4/29/17 23:40,Circle,MN,"Circle of lights shining through the clouds just south of Eden Prairie, MN. ((NUFORC Note: Advertising lights at a casino. PD))"
Minneapolis,4/29/17 23:20,Circle,MN,12 glowing lights in sky circle shaped did not move stayed in position was south Minneapolis a lot of witnesses.
Newport,4/29/17 23:00,Light,MI,Bright white flashing.
Athabasca (Canada),4/29/17 23:00,Disk,AB,"Saucer shape with 4 windows, not clear about the color"
Edina,4/29/17 22:35,Circle,MN,Strange circle lights in the sky.
Medford,4/29/17 22:00,Changing,OR,Hovering multicolored object over Medford
Eden Prairie,4/29/17 22:00,Formation,MN,"Glowing cloud ring Eden Prairie, MN. ((NUFORC Note: Ring of stationary advertising lights at local casino. PD))"
Sacramento,4/29/17 21:30,Circle,CA,"Driving on 99 south through Sacramento around 9:30 pm, seen 2 orange round objects dancing/flying together. Other cars slowed down."
Chambersburg,4/29/17 21:00,Disk,PA,2 larger than planet size bell/saucer shapes with bright amber/white light emitting from each hovered briefly then vanished.
Las Vegas,4/29/17 20:53,Formation,NV,Triangular formation of 3 diamond-shaped craft with center craft moving erratically in multiple directions.
Woods Hole,4/29/17 20:30,Chevron,MA,A wedge-shaped formation of lights silently passed overhead where lights in the formation switched position before fading from sight.
Coconut Creek,4/29/17 20:10,Light,FL,"Very white, bright circular light, perfectly still. Approximately 40-50 feet in the air. Lasted 45 minutes and suddenly vanished."
Fords,4/29/17 19:05,Other,NJ,CAPSULE SHAPED CRAFT RAPIDLY DESCENDS INTO WAREHOUSE PARK.
Anniston,4/29/17 15:00,Cylinder,AL,"Like a big oil drum, white on the sides and silver in the center, hovering over downtown Anniston. ((anonymous report))"
Excelsior,4/29/17 11:30,Circle,MN,Looks like a big circle made up with dotted lights facing downwards.
Kealakekua,4/29/17 03:00,Light,HI,I suddenly woke up at 3 am and looked out my window of the Airbnb house about 1500 ft above sea level. Windows equipped with screens ar
Sturgeon Bay,4/29/17,Light,WI,Red orange orb appearing the size of a basket ball flew over my house and yard at approximately 50 feet height 01:45 am. traveled in a
Demotte,4/28/17 22:00,Other,IN,I was on HWY10 heading W towards Demotte. I red ball started slowing moving towards the earth in the sky ahead of me. As I watched t
Olympia,4/28/17 21:00,Light,WA,"Two straight lines of light in the starless night sky, about 5 lights each. First red, others white. Stationary. No stars out."
Burl County,4/28/17 21:00,Unknown,NJ,Bright flashing light moving great distance in under a second in south nj
Franklin Park,4/28/17 20:18,Unknown,IL,This was no airplane
New Brunswick,4/28/17 10:30,Disk,NJ,"Shiny, silver disk witnessed high in sky above highway I-287 in New Jersey."
Germantown,4/28/17 05:45,Circle,MD,"Approx 05:45 on April 28 2017 I witnessed a single, bright, star like object in the southern sky of Germantown, MD."
Temple hills,4/28/17 01:00,Circle,MD,Orange object cruises past home near Andrew's AFB. ((anonymous report))
Garden City,4/28/17 01:00,Fireball,ID,Saw a bright orange fireball moving from west to east in the sky. ((anonymous report))
Sheffield (UK/England),4/27/17 22:15,Other,,"Pinkish, transparent, gun-shaped object seen by two adults in Sheffield, UK."
West Bend,4/27/17 22:00,Unknown,WI,"Driving north on I-45, I saw an object hovering in the sky with three or more very bright white lights. The object was slowly moving di"
Colorado Springs,4/27/17 21:00,Circle,CO,Solid black circular object making no noise. Only 1 light not flashing. Very fast object.
Miami,4/27/17 20:45,Light,FL,Single point of light traveling from N to S passing the zenith after about 20 seconds.
West Kelowna (Canada),4/27/17 19:30,Other,BC,Several glowing orbs 'dancing' in the sky.
Armadale (Australia),4/27/17 12:00,Fireball,,There was a light trail in the sky. It was moving at considerable speed and was seen in broad daylight. ((NUFORC Note: Contrail. PD))
Tulsa,4/27/17 11:00,Other,OK,Looked like 2 kites
Tacoma,4/27/17 10:51,Other,WA,"Saw a star shaped/cylinder shaped object in Tacoma, Washington."
Gambrills,4/27/17 07:40,Cylinder,MD,"Disappearing ""brown pencil"" object."
Albuquerque,4/27/17 05:20,Changing,NM,"A bright, silent, shape changing ball of light was observed over Albuquerque and Sandia mountains. It was seen at dawn twice in a week."
Mossyrock,4/27/17 01:00,Unknown,WA,Saw three blue lights.
Everett,4/26/17 23:20,Circle,WA,Looked up in sky as getting into my car approx 11:20ish pm noticed 3 different sized orbs in sky over Everett Boeing and westbound. At
Orangeville (Canada),4/26/17 23:00,Unknown,ON,Saw object with bright light-then 6 objects with blue & red lights flew out from the main object. One object followed me home.
Bradenton,4/26/17 22:29,Light,FL,"Several lights that continue to flash like planes, but were not moving. From Bradenton looking SW there were about 7."
Beattyville,4/26/17 22:00,Circle,KY,"Weird, star shaped craft changing colors, beams of light coming from craft. Very little movement."
Dumaguete (Philippines),4/26/17 21:30,Chevron,,Philippines UFO!
Rochester,4/26/17 21:00,Light,NY,"Two bright lights heading south from Lake Ontario, eventually fading out"
Indian Reservation on way to Barona Casino,4/26/17 20:00,Other,CA,Hovering long skinny aircraft with lights underneath and multiple witnesses
North Charleston,4/26/17 14:00,Other,SC,Strange shaped aircraft sighted then disappeared. ((anonymous report))
Visalia,4/26/17 09:45,Circle,CA,Circular they got out of view about 7 foot across in about 5-7 seconds.
Vienna,4/26/17 04:07,Light,OH,"Wife and I saw three lights, one moving S then immediately N before disappearing. Two more then appeared. ((anonymous report))"
Cape Coral,4/26/17 02:00,Other,FL,Two of us by the pool. Talking about the divine way in which we met! When instantly something appears far out and slowly shoots.
Pinellas Park,4/26/17 00:27,,FL,Plane with red blinking light seemed to be pulling what looked like a sparkler. Went into a cloud and stayed stationary.
Miami,4/26/17 00:20,Other,FL,"I saw reports today on a flying blueish, cloudy object. I can't say what I saw was a craft. ((anonymous report))"
Largo,4/26/17 00:00,Changing,FL,I notice what appears to look like a dark colored plane with all the windows lit like the lights were on in the plane.
Santa Barbara,4/26/17 00:00,Fireball,CA,Curving fireball followed by blinking light.
Plant City,4/25/17 23:53,Cylinder,FL,"Very low-flying cylinder craft w/ mostly green (less red) lights that trailed behind it,"
Seminole,4/25/17 23:53,Unknown,FL,2 things stood out to me... first how long the size of this was... and it was completely silent…
West Palm Beach,4/25/17 23:52,Fireball,FL,"Green flash/meteor like of objects breaking up, flash broke up and lights turned off, dark object still flying and not descending. West"
Port Charlotte,4/25/17 23:50,Circle,FL,Clear full of stars; then I saw this white ball shape with red and orange flames flew accross the sky.
Podgorica (Montenegro),4/25/17 23:45,Sphere,,Shining balls in triangle formation.
Apollo Beach,4/25/17 23:45,Circle,FL,High speed circular object moving at high speed west to east just south of MacDill AFB.
Clearwater,4/25/17 23:45,Light,FL,Bright green lights moving west to east.
Plantation,4/25/17 23:45,Cross,FL,UFO sighted over the Everglades in Broward County.
Ponca City,4/25/17 23:45,Circle,OK,"Flying on American airline flight 299 to Tulsa, saw 2 craft. One a half circle with two lights bordering the entire outer edge."
Jupiter,4/25/17 23:00,Unknown,FL,"Saw something traveling south to north, leaving a trail of fire/sparks in a straight line."
Lexington,4/25/17 23:00,Circle,KY,"Last night 4-25-17 about 11:00 pm I was looking at the stars. I saw a round shaped object with white, yellow, red lights moving."
Nanaimo (Canada),4/25/17 22:45,Circle,BC,"Flashing lights hovering over mountain for 30 mins., multiple nights."
Rigby,4/25/17 22:30,Light,ID,"Two lights flying, one in front of the other, thought they were satellites until the bigger of the two slowed."
Nicassio,4/25/17 22:27,Sphere,CA,"I was driving a long open road in the country farm land. Without coming into sight from my peripheral, approximately 100 yards in front"
Vance AFB,4/25/17 21:15,Triangle,OK,Silent low flying trianglish shaped object
Parsonsfield,4/25/17 21:00,Light,ME,"I went outside and saw one red light. Zooming wildly, no apparent pattern."
Bradenton,4/25/17 20:40,Light,FL,"3 orange lights in triangle formation. suddenly appeared over palma sola bay, moved in triangle formation. ((anonymous report))"
Marietta,4/25/17 18:30,Disk,GA,"UFO I believe is seen in one of several photos. ((NUFORC Note: We suspect the object is an insect, or hummingbird. PD))"
Orlando,4/25/17 01:47,Sphere,FL,Eight spherical balls of light that what seemed like emerged from with in the clouds in the dark sky. They whipped back and forward acr
Dallas,4/25/17 00:00,Triangle,TX,Me and my buddy are fishing and we saw a reflection on the water and looked up and I passed over with out making a sound
Sykesville,4/24/17 21:55,Disk,MD,"A gray flying saucer, with red running lights, flew a few feet over my house in Eldersburg, Maryland."
Dover,4/24/17 21:00,Diamond,NH,Circular a/c. green white and red lights. flipped on its side to expose diamondish triangular shape; size of a/c. ((anonymous report))
Roseville,4/24/17 20:45,Other,MN,L-shaped object with bright lights and was dead silent. ((anonymous report))
Fenton,4/24/17 12:00,Changing,MO,I had just got back from getting lunch. Backed in the driveway and noticed a flash of light. It appeared out of nowhere it looked like
Eau Claire,4/24/17 00:00,,WI,"25000 a v-shaped invisible, cutting threw thin clouds flying really fast. I thought it was ducks flying in a v. ((anonymous report))"
Clarksville,4/24/17,,TN,((NUFORC Note: No information provided by source in either of two similar reports submitted by anonymous party. PD))
Huntington Beach,4/23/17 23:25,Sphere,CA,Sphere like craft with very strong red light emitting from its tail sighted traveling southwest to northeast near the PCH.
Ft. Myers,4/23/17 22:50,Diamond,FL,Bright lights UFO seen Ft. Myers. ((anonymous report))
Iota,4/23/17 22:20,Light,LA,"It was a very bright object, about 30 degrees above the horizon, flashing red, white, green, and I'm not sure, but I thought blue."
Chappell Hill,4/23/17 21:30,Light,TX,"Very large ball of slow-moving light traveling east to north, vanishes mid-air without a trace. No sound, no trail."
Orono,4/23/17 21:30,Diamond,ME,Diamond shape.
Las Vegas,4/23/17 21:15,Light,NV,Two lights seen high in the night sky with motion not typical of a plane and too fast for a helicopter.
Marysville,4/23/17 20:15,Cigar,OH,"Cigar shaped UFO spotted on the horizon in Marysville, Ohio"
Birmingham,4/23/17 19:00,Oval,AL,I saw a black oval shaped large ufo go straight up through trees into the clouds. Seemed 1 mile away. ((anonymous report))
Oshawa (Canada),4/23/17 10:35,,ON,"High, slow, flashing white light object."
Salt Point State Park,4/23/17 05:30,Circle,CA,Darting in irregular manner orange orb.
Richmond (Canada),4/23/17 01:05,Fireball,BC,"Huge fireball orb above YVR Airport Vancouver, Canada."
Napa,4/23/17 00:50,Sphere,CA,"Large reddish orange light that dropped many more lights out of it, and some smaller same colored lights shot out the top."
Selah,4/22/17 23:33,Light,WA,"ORANGE LIGHT OVER FIRING CENTER RD, APPEARED TWICE"
Lansing,4/22/17 23:00,Triangle,MI,Orange orbs in triangle shape in night sky. ((anonymous report))
Goshen,4/22/17 22:00,Oval,IN,"Walked out of my house in the country, and seen a ball if light.

It was lower than normal for anything which would make sense to see"
Irmo,4/22/17 21:34,Unknown,SC,"2 witnessed 2 identical glowing objects in the sky over Irmo/Columbia, SC, at ~9:30pm."
Surprise,4/22/17 21:30,Unknown,AZ,Fixed flashing colored lights 9pm to 1am. Change position suddenly appear regularly. ((NUFORC Note: Possibly stars or planets?? PD))
Bakersfield,4/22/17 21:00,Light,CA,Big orange circle light in Bakersfield.
Des Moines,4/22/17 20:40,Light,IA,Saw 3 orange lights in a triangular formation to the north of south eastern Des Moines. They were stationary but seemed to blink in and
Lake Forest,4/22/17 20:08,Other,CA,"Long, large craft, numerous flashing white lights in sequence over Southern California."
Oneco,4/22/17 11:00,Oval,CT,7 flying kinda a formation same speed all traveling in the same direction west to east 7 of them.
Burlington (Canada),4/21/17 23:26,Sphere,ON,Two sphere-shaped no noise red in color one above the other flying at same speed heading S over L. Ontario. ((anonymous report))
Midwest city,4/21/17 23:00,Fireball,OK,On front porch smoking a cigarette facing north. Saw a neon pink glowing fireball looking object. It appeared to be stationary for abou
Brandon,4/21/17 22:23,Light,FL,Large white Orb being tailed by Fighter Jet.
Thompson (Canada),4/21/17 22:00,Light,MB,"Orange lights spotted near Thompson, MB."
Dillon,4/21/17 22:00,Chevron,SC,"I saw 12 UFO's in Dillon, SC. They were floating over the hospital in Dillon."
Sanra Rosa,4/21/17 21:13,Triangle,CA,"I was walking with my dog, and since i saw some strange object a night before, i was just looking at the sky and searching it. I saw a"
Neenah,4/21/17 21:13,Formation,WI,Two bright dots moving in formation simultaneously.
McKinleyville,4/21/17 21:04,Formation,CA,Four red circular UFOs in formation sighted above the Pacific Ocean in Northern California
Stevenson Ranch,4/21/17 21:00,Unknown,CA,Bright white pulsing light travels across sky and then shoots straight up.
Lynn,4/21/17 14:45,Disk,IN,Very large dark gray object with possible windows flying low.
Wanica (Surinam),4/21/17 13:00,Circle,,Shiny circular object observed in GoogleEarth.
Hillsboro,4/21/17 12:11,Other,OR,Metallic Orange Ring Shaped Object Over Hillsboro Oregon
Seattle,4/21/17 03:09,Light,WA,A bright white light flew over Seattle and suddenly vanished.
Hanging Rock,4/21/17 00:05,Sphere,OH,Sphere shapped object flying over highway. ((anonymous report))
Olympia,4/21/17 00:00,Fireball,WA,Red flaming fireball seen by 1 witness.
Santa Rosa,4/20/17 00:00,Unknown,CA,Silent object without lights nor sound was passing slowly above houses in my neighborhood at night
Hartsville,4/20/17 22:35,Fireball,SC,In Northcutt Road before train tracks heading to Highway 15. Looked to the west above pine trees. Saw an orange fireball traveling abou
Surfside Beach,4/20/17 22:00,Light,SC,Orange orbs spotted.
Petaluma,4/20/17 21:30,Light,CA,Strange grouping of lights hovering in the S.F. bay areanight sky
Thibodaux,4/20/17 21:00,Oval,LA,"Flashing lights of different colors. Appeared to hover, moving up and down. Hard to get pic or film w/ cellphone. ((anonymous report))"
Columbia,4/20/17 20:07,Sphere,MO,"I was looking west; the sun was setting, when I saw a quickly moving object traveling from the northwest to the southeast."
Columbia,4/20/17 19:55,Sphere,MO,"I noticed something very low in the sky in front of the car. It appeared pale blue in color, almost sky color, about the size of a pea."
Palmyra,4/20/17 14:15,Other,NJ,I observed an aircraft that seemed to look odd.
Daytona Beach,4/20/17 12:07,Sphere,FL,"Facing SW, I seen this orb as if it were following the sun not with a camera but with the naked eye so I went out side with my camera a"
Spokane,4/20/17 10:30,Circle,WA,Huge LED looking light hovering at tree line disappeared instantly after 4 minutes of watching. No trace
Vashon,4/20/17 10:00,Circle,WA,Circular object hovering with blinking white and blue lights in the southwest sky.It hovered for about 2 minutes then went dark and was
Bridgeview,4/20/17 04:56,Light,IL,"Bridgeview, IL, blue light. ((anonymous report))"
Kennett Square,4/20/17 00:10,Unknown,PA,Unknown Lights
Newton,4/19/17 23:55,Triangle,AL,Silent triangle UFO.
Newton,4/19/17 23:50,Triangle,AL,My friend and I stepped outside hoping to catch a glimpse of the asteroid that was passing over. Neither of seen anything at that time.
Denver,4/19/17 23:29,Light,CO,Moved slow but made quick turns staying and circling same area I have it on security camera's that record 24/7
Cobourg (Canada),4/19/17 21:45,Light,ON,"Two ""satellites"" traving S in tandem, then reversing direction and travelling north in tandem, then diverging."
North Myrtle Beach,4/19/17 20:50,Light,SC,Orange Orbs Spotted Over North Myrtle Beach...AGAIN!
Garden City,4/19/17 20:50,Sphere,SC,Five bright orange orbs appear quietly over water not far from shore. ((anonymous report))
Surfside Beach,4/19/17 20:30,Circle,SC,"Single orb over ocean, moved north, 5 orbs formed behind, followed then disappeared; sixth orb formed slightly south, then disappeared."
Chiba City (Japan),4/19/17 20:10,Unknown,,I saw a fast pretty round object from the other end of the horizon to the other for like 2-4 seconds and it's well hidden in the clouds
Benton,4/19/17 11:00,Triangle,TN,Triangle shaped aircraft with red lights landed in field near home.when went to see what it was it lifted into the air and made a circl
Gray,4/19/17 08:49,,GA,UFO hovered above my house I could see the basic shape but had some sort of reflective outer shell. ((anonymous report))
Cape Girardeau,4/19/17 08:16,Sphere,MO,"On Wed., April 19th, 2017, at approximately 8:16 a.m. in Cape Girardeau Missouri, I was looking to the Northeastern Sky at about the"
Garden City,4/19/17 02:53,Changing,SC,Strange light over the Atlantic.
Holiday Island,4/19/17 00:40,Light,AR,Watching two lights doing what I would call dancing and playing with each other. ((NUFORC Note: Sighting of stars?? PD))
Omaha,4/18/17 00:00,Circle,NE,"I witnessed an flying circle floating low, then started going high into the air as it kept moving. ((anonymous report))"
Long Beach,4/18/17 22:50,Oval,MS,"Green oval turns colors, hovers, moves around fast, then disappears."
Uniontown/Kent,4/18/17 22:20,Changing,OH,I had been on the road for about 5-6 minutes after leaving the Kent campus when I saw the ufo.
Smithfield,4/18/17 22:00,Circle,KY,Me and my wife was setting out side at 10 pm and seen two lights look like stars but was moving really fast and then slow vanished in t
Warren,4/18/17 22:00,Triangle,RI,((HOAX??)) Triangular moving quickly over Warren RI and turned around when it was spotted.
Warren,4/18/17 22:00,Triangle,RI,"Triangular moving quickly over Warren, RI, and turned around when it was spotted."
Willard,4/18/17 22:00,Light,KY,Multiple orbs of light seen nightly for over a month. ((NUFORC Note: We have urged the witness to get photos. PD))
Galena Park,4/18/17 22:00,Light,TX,A led blue light with a tail streaked across the sky. The wind pick up around 35 knots. And a car alarm went off. ((anonymous report))
Cottage Grove & Madison,4/18/17 21:45,Triangle,WI,"Large and very fast, triangle/boomerang shape with a bright white light in middle and blue and red light blinking"
Warminster,4/18/17 21:32,Unknown,PA,"Ufo videos, changing lights and moving short distances back and forth ((NUFORC Note: Sighting of Jupiter? PD))"
Albuquerque,4/18/17 20:30,Cross,NM,It was a black cross that was about 500' away flying slow and totally silent
Los Angeles,4/18/17 20:00,Formation,CA,"I was driving down the street when i came to a red light. I took my phone out ,stuck it out the window and took pictures of a building"
Bermuda/Florida coast (between),4/18/17 16:00,Cone,,"Strange phenomenom, way up in the air. ((seen in-flight))"
New York City (upper West Side),4/18/17 14:30,Teardrop,NY,"Possible NYC UFO Upper West Side, two sightings separated by four hours."
Les Cayes (Haiti),4/18/17 12:30,Circle,,It'd a huge circle with the sun shining in the center of it. Inside was also a bunch of red images.((NUFORC Note: Lens flares. PD))
Los Angeles,4/18/17 12:00,Triangle,CA,"Hollywood Hills above L.A., CA.. One ship split into 2 ships total of 3 ships triangle red an green lights.. ((anonymous report))"
